Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,599.9212598425197,41.01022725946763,131,0.2,38.0
2,576.0560747663551,48.09747791290283,250,0.1992032,37.68852459016394
3,593.3391304347826,53.85247198740641,369,0.19892183,37.68333333333333
4,591.1900826446281,59.55960750579834,491,0.2,37.68852459016394
5,583.1282051282051,66.06295617421468,610,0.19967267,37.377049180327866
6,596.2222222222222,70.9260098139445,731,0.2,37.68333333333333
7,595.9122807017544,77.37228552500407,850,0.19976498,37.68852459016394
8,592.5526315789474,83.17050139109294,970,0.19979402,37.68333333333333
9,610.5714285714286,88.09274895985921,998,0.1997998,9.032786885245901
10,NaN,88.31459331512451,998,0.1997998,0.0
Final Results,NaN,88.42073154449463,998,0.1997998,0.0

AVERAGES,593,69,,0.998999
