Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1393.7293233082708,41.00935214757919,130,0.1969697,38.0
2,1229.6341463414635,47.03077189127604,252,0.19920948,38.0
3,1173.6178861788617,53.03814140955607,373,0.2,37.68852459016394
4,946.6859504132232,59.30145835876465,493,0.2,38.0
5,1223.0330578512396,65.12837473551433,613,0.2,37.377049180327866
6,858.1949152542373,71.03315504391988,729,0.19836734,38.0
7,1232.7936507936508,76.90100407600403,853,0.19953217,38.0
8,1330.1129032258063,82.88413047790527,975,0.19959058,38.0
9,1310.7131147540983,88.88458887736003,1093,0.19927074,38.0
10,1251.766129032258,94.91071128845215,1217,0.19967186,37.377049180327866
Final Results,1138.7105263157894,98.76326560974121,1255,0.19936457,38.0

AVERAGES,1189,70,,0.9968228499999999
