Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,693.0875,39.37530028820038,65,0.2,19.0
2,595.875,46.76519536972046,125,0.2,19.0
3,215.96052631578948,52.43871911366781,186,0.2,19.0
4,92.96153846153847,58.45119913419088,246,0.2,19.0
5,300.22058823529414,64.15685248374939,306,0.19934854,19.0
6,840.9861111111111,69.8267141977946,366,0.19945504,19.0
7,711.1973684210526,75.67965690294902,427,0.19953272,19.0
8,665.4794520547945,81.41658409436543,488,0.2,19.0
9,579.6266666666667,87.25931533177693,548,0.1996357,19.0
10,547.961038961039,92.99373277028401,609,0.2,18.683333333333334
Final Results,500.75,97.07012271881104,634,0.19968504,19.0

AVERAGES,522,69,,0.9984252
