Benchmark,latency-Q10_8,memory,ObIds,Completeness,Current Throughput
1,3385.375,52.65745427058293,132,0.051242236,159.5
2,88700.42857142857,60.335915883382164,139,0.034474205,98.13333333333334
3,122058.0,64.27072143554688,140,0.034722224,0.0
4,182805.0,64.23012733459473,141,0.03497024,0.0
5,NaN,64.31353759765625,141,0.03497024,0.0
6,NaN,64.31490325927734,141,0.03497024,0.0
7,369986.0,64.35705502827962,142,0.035218254,0.0
8,NaN,64.35705947875977,142,0.035218254,0.0
9,NaN,64.31556828816731,142,0.035218254,0.0
10,554869.0,64.31621805826823,143,0.03546627,0.0
Final Results,NaN,64.39087409973145,143,0.03546627,0.0

AVERAGES,220300,62,,0.17733135
