Benchmark,latency-Q1_30MB,memory,ObIds,Completeness,Current Throughput
1,334.5982142857143,68.20511304415189,130,0.2,38.0
2,335.48214285714283,81.0561154683431,250,0.2,38.0
3,338.52702702702703,90.61679077148438,370,0.2,38.0
4,345.3333333333333,97.00615628560384,490,0.2,37.377049180327866
5,325.3448275862069,103.69251505533855,610,0.2,38.0
6,338.27941176470586,109.55885124206543,730,0.2,37.377049180327866
7,337.3484848484849,116.30435244242351,850,0.2,38.0
8,342.03225806451616,122.50524139404297,970,0.2,37.377049180327866
9,323.56,129.05135615666708,1090,0.2,38.0
10,345.39344262295083,136.17584609985352,1210,0.2,37.377049180327866
Final Results,321.05128205128204,139.94440879821778,1260,0.2,38.0

AVERAGES,335,108,,1.0
