Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,351.7162162162162,41.44553881883621,132,0.2,38.0
2,341.11538461538464,48.38705698649088,252,0.2,38.0
3,345.5135135135135,57.58116022745768,372,0.2,38.0
4,345.8673469387755,64.96345710754395,492,0.2,37.377049180327866
5,357.1967213114754,74.51229921976726,612,0.2,38.0
6,329.06060606060606,81.47786903381348,732,0.2,38.0
7,345.85,89.66312090555827,852,0.2,37.377049180327866
8,335.80263157894734,98.57328796386719,972,0.2,38.0
9,337.7391304347826,105.63550885518391,1092,0.2,37.377049180327866
10,342.76666666666665,115.2757453918457,1212,0.2,37.377049180327866
Final Results,341.8529411764706,118.45722999572754,1262,0.2,38.0

AVERAGES,343,81,,1.0
