Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,726.1614906832298,49.187744013468425,122,0.2,38.0
2,296.5646258503401,46.49320602416992,242,0.2,38.0
3,846.9407894736842,52.46327447891235,362,0.1989011,38.0
4,789.3931034482758,58.59784460067749,484,0.2,38.0
5,687.0457516339869,64.70634905497234,604,0.19933994,37.377049180327866
6,629.8192771084338,70.61860593159993,726,0.2,38.0
7,316.05625,76.34803263346355,846,0.1995283,38.0
8,198.75694444444446,82.6712429523468,966,0.19958678,38.0
9,796.043165467626,88.91928005218506,1088,0.19963303,38.0
10,851.4825174825174,94.83091020584106,1208,0.19966942,38.0
Final Results,830.5333333333333,99.10100383758545,1258,0.19968253,38.0

AVERAGES,633,71,,0.9984126499999999
