Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1467.657894736842,40.3519599016975,64,0.09014084,38.0
2,1795.7121212121212,49.67779040336609,133,0.10230769,37.377049180327866
3,1966.3684210526317,61.641971588134766,209,0.11,38.0
4,2374.0666666666666,72.50996319452922,299,0.1196,37.0655737704918
5,2704.880733944954,85.11201039950053,413,0.13344103,37.68333333333333
6,3008.339285714286,95.10971101125081,525,0.1420839,37.68852459016394
7,3146.938596491228,107.32135852177937,639,0.14877765,37.36666666666667
8,3145.84496124031,118.54288260142009,768,0.15689479,38.0
9,3188.8,129.95350615183511,883,0.16069154,37.36666666666667
10,3338.5853658536585,139.88983249664307,999,0.1641742,37.377049180327866
Final Results,3539.6666666666665,141.59061222076417,1049,0.165588,38.0

AVERAGES,2697,94,,0.82794
