Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,174.47222222222223,39.97950922648112,61,0.2,19.0
2,168.53164556962025,47.496959606806435,127,0.2,19.0
3,167.0909090909091,53.69907514254252,190,0.2,19.0
4,188.46153846153845,59.58571092287699,253,0.2,19.0
5,271.8414634146341,65.29773465792339,314,0.2,19.0
6,402.07142857142856,70.74941205978394,358,0.19093333,19.0
7,NaN,75.4112958908081,358,0.1645977,19.0
8,NaN,79.68389097849528,358,0.14464647,19.0
9,NaN,83.87427552541097,358,0.12900901,19.0
10,NaN,88.12663682301839,358,0.116422765,18.688524590163933
Final Results,NaN,90.48853206634521,358,0.11365079,19.0

AVERAGES,228,68,,0.56825395
