Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,96.0,41.149072885513306,63,0.2,19.0
2,51.06666666666667,47.84456221262614,120,0.2,18.065573770491802
3,46.95652173913044,53.135665575663246,180,0.2,18.683333333333334
4,56.96774193548387,58.917595545450844,237,0.2,18.065573770491802
5,51.07692307692308,65.10325527191162,296,0.2,18.366666666666667
6,54.45454545454545,70.10315211613973,352,0.2,17.75409836065574
7,50.833333333333336,76.53623342514038,408,0.2,17.416666666666668
8,53.58620689655172,81.37921460469563,466,0.19957173,18.37704918032787
9,57.78125,87.608207543691,522,0.2,17.416666666666668
10,52.075,93.06299527486165,580,0.2,18.37704918032787
Final Results,44.77777777777778,98.01683044433594,604,0.2,18.24

AVERAGES,55,70,,1.0
