Benchmark,latency-Q5,memory,ObIds,Completeness,Current Throughput
1,1260.7333333333333,41.626440366109215,15,0.04054054,19.0
2,1813.090909090909,48.447543462117515,37,0.0556391,18.683333333333334
3,2272.6666666666665,54.20125420888265,61,0.06321243,18.683333333333334
4,2754.4166666666665,59.44927660624186,85,0.06746032,18.688524590163933
5,3404.3125,66.0917607943217,118,0.075884245,18.366666666666667
6,3909.214285714286,70.95480251312256,160,0.08625337,19.0
7,4459.027027027027,77.04570023218791,197,0.0916279,18.37704918032787
8,5149.555555555556,82.62173430124919,251,0.10244898,18.683333333333334
9,5685.9375,88.10878785451253,299,0.10892532,18.688524590163933
10,6168.015873015873,94.54794216156006,362,0.11907895,18.366666666666667
Final Results,5955.291666666667,97.16347713470459,386,0.12195893,19.0

AVERAGES,3893,70,,0.6097946499999999
