Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1151.6904761904761,78.65108313927284,126,0.19384615,38.0
2,953.6311475409836,82.67454846700032,248,0.1984,38.0
3,502.9916666666667,82.88687833150227,368,0.19891892,38.0
4,991.8666666666667,82.93709564208984,488,0.19918367,37.36666666666667
5,652.5666666666667,83.26477495829265,608,0.19934426,38.0
6,787.0,83.36486307779948,726,0.19890411,38.0
7,807.6065573770492,83.64652506510417,848,0.19952941,37.36666666666667
8,595.1525423728814,83.77300453186035,966,0.19917525,38.0
9,943.8934426229508,83.95398267110188,1088,0.19963303,38.0
10,491.1166666666667,84.18543688456218,1208,0.19966942,38.0
Finale Results,962.0416666666666,83.93184967041016,1256,0.19936508,36.53846153846154
