Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1552.7205882352941,180.22084317888533,136,0.19428572,38.0
2,1462.675,193.9359327952067,256,0.19692308,37.36666666666667
3,1529.6166666666666,185.76302083333334,376,0.19789474,37.377049180327866
4,1673.975,191.18968454996744,496,0.1984,38.0
5,1517.6833333333334,194.32900746663412,616,0.19870968,38.0
6,1475.825,192.93791707356772,736,0.19891892,37.377049180327866
7,1525.1916666666666,190.24965286254883,856,0.19906977,37.36666666666667
8,1527.3916666666667,193.13099161783853,976,0.19918367,37.36666666666667
9,1673.0,194.94949785868326,1096,0.19927272,37.377049180327866
10,1750.125,197.06279118855795,1216,0.19934426,37.36666666666667
Finale Results,1589.3,186.79341634114584,1246,0.19936,38.0
