Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1140.8333333333333,78.67692389855019,126,0.19384615,38.0
2,960.9590163934427,82.71296819051106,248,0.1984,38.0
3,519.55,82.8875560760498,368,0.19891892,38.0
4,916.7666666666667,82.86759821573894,488,0.19918367,37.36666666666667
5,678.7666666666667,83.26612599690755,608,0.19934426,38.0
6,735.9152542372881,83.18850135803223,726,0.19890411,38.0
7,824.8852459016393,83.73522694905598,848,0.19952941,38.0
8,579.35,83.62068430582683,968,0.19958763,37.377049180327866
9,947.5416666666666,83.98322105407715,1088,0.19963303,38.0
10,485.10833333333335,84.27108383178711,1208,0.19966942,38.0
Finale Results,1097.3125,84.0795913696289,1256,0.19936508,36.53846153846154
