Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1138.952380952381,78.59710575984074,126,0.19384615,38.0
2,936.4344262295082,82.78308423360188,248,0.1984,38.0
3,488.5,82.88895988464355,368,0.19891892,38.0
4,981.8166666666667,83.04252942403157,488,0.19918367,37.36666666666667
5,639.3416666666667,83.30706214904785,608,0.19934426,38.0
6,776.3813559322034,83.32185173034668,726,0.19890411,38.0
7,795.5,83.64895820617676,848,0.19952941,37.36666666666667
8,643.957627118644,83.61485926310222,966,0.19917525,38.0
9,912.016393442623,84.05471165974934,1088,0.19963303,38.0
10,458.28333333333336,84.23143704732259,1208,0.19966942,37.36666666666667
Finale Results,1149.8333333333333,83.8549301147461,1256,0.19936508,38.0
