Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,"1116,4921875","35,7764035738431",128,"0,19692308",38
2,"895,286885245902","32,6557642618815",250,"0,2",38
3,"486,754237288136","32,7920144399007",368,"0,19891892",38
4,"911,967213114754","32,8399594624837",490,"0,2",38
5,"605,610169491525","33,2323970794678",608,"0,19934426","37,3666666666667"
6,"841,811475409836","33,342212677002",730,"0,2",38
7,"628,932203389831","33,6316337585449",848,"0,19952941","37,3666666666667"
8,"794,286885245902","33,646853129069",970,"0,2",38
9,"615,135593220339","33,9317658742269",1088,"0,19963303",38
10,"793,254098360656","34,0034821828206",1210,"0,2",38
Finale Results,"439,78","34,2741485595703",1260,"0,2",38
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"739,028268024262",,,,
