Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1113.484375,33.923728942871094,128,0.19692308,38.0
2,899.688524590164,32.61014874776205,250,0.2,38.0
3,536.6271186440678,32.643266677856445,368,0.19891892,38.0
4,898.5491803278688,32.75600242614746,490,0.2,38.0
5,526.5169491525423,33.0966739654541,608,0.19934426,37.36666666666667
6,902.5,33.238438288370766,730,0.2,38.0
7,569.1186440677966,33.40314610799154,848,0.19952941,37.36666666666667
8,849.6967213114754,33.62048021952311,970,0.2,38.0
9,621.1440677966102,33.713993072509766,1088,0.19963303,38.0
10,809.3770491803278,34.06112798055013,1210,0.2,37.377049180327866
Finale Results,415.36,34.174800109863284,1260,0.2,38.0
