Benchmark,latency-Q1,memory,ObIds,Completeness,Current Throughput
1,1094.7265625,32.232071509728065,128,0.19692308,38.0
2,883.7950819672132,32.61964543660482,250,0.2,38.0
3,521.0677966101695,32.73617426554362,368,0.19891892,38.0
4,851.7459016393443,32.879228591918945,490,0.2,37.36666666666667
5,623.0593220338983,33.20203145345052,608,0.19934426,38.0
6,785.0655737704918,33.21432685852051,730,0.2,37.36666666666667
7,666.5169491525423,33.51068115234375,848,0.19952941,38.0
8,770.8032786885246,33.61109860738119,970,0.2,38.0
9,699.7796610169491,34.189138412475586,1088,0.19963303,37.36666666666667
10,643.2459016393443,34.321306228637695,1210,0.2,38.0
Finale Results,591.0833333333334,34.7207763671875,1258,0.19968253,38.0
