Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1923.2777777777778,178.25546323336087,126,0.19384615,38.0
2,1422.975,190.86456807454428,246,0.1968,37.36666666666667
3,1423.4416666666666,191.22580528259277,366,0.19783784,38.0
4,1597.35,182.35710016886392,486,0.19836734,37.377049180327866
5,1706.775,190.58348083496094,606,0.19868852,37.38709677419355
6,1346.6416666666667,192.72490692138672,726,0.19890411,37.36666666666667
7,1562.55,193.20167541503906,846,0.19905883,37.36666666666667
8,1488.4333333333334,197.4991887410482,966,0.19917525,37.38709677419355
9,1659.5833333333333,192.89003054300943,1086,0.19926606,37.36666666666667
10,1701.6949152542372,194.78775024414062,1204,0.19900827,38.0
Finale Results,1274.8809523809523,198.1249656677246,1246,0.19936,38.0
