Benchmark,latency-Q1_20MB,memory,ObIds,Completeness,Current Throughput
1,1934.936507936508,179.48353341909555,126,0.19384615,38.0
2,1779.6333333333334,190.85354614257812,246,0.1968,37.36666666666667
3,1406.825,187.30408795674643,366,0.19783784,37.36666666666667
4,1509.65,182.6407845815023,486,0.19836734,37.377049180327866
5,1716.0,190.47769101460776,604,0.19803278,37.38709677419355
6,1326.327868852459,193.48039182027182,726,0.19890411,37.36666666666667
7,1425.6666666666667,187.21665000915527,846,0.19905883,38.0
8,1548.4583333333333,185.22989336649576,966,0.19917525,37.377049180327866
9,1467.325,185.91431999206543,1086,0.19926606,37.38709677419355
10,1631.1,191.24160766601562,1206,0.19933884,37.36666666666667
Finale Results,1539.225,189.81004905700684,1246,0.19936,38.0
